,Country,Continent_string,Continent,HDI_string,HDI,Happiness,GDP_pc,Life_exp,Pop,Regime,GDP_log
37,Ecuador,AMER,1,HIGH,2,5.973,6263.192,76.2,17.643,Hybrid,8.742445238
38,Egypt,AFR,0,HIGH,2,4.419,2501,70.9,102.334,Authoritarian,7.824445931
39,El Salvador,AMER,1,MEDIUM,1,6.167,4596.227,73.5,6.486,Hybrid,8.432991029
40,Estonia,EUR,3,V_HIGH,3,5.739,23610.453,77.6,1.326,Flawed,10.06944482
41,Ethiopia,AFR,0,LOW,0,4.35,909.985,64.8,114.963,Authoritarian,6.813428116
42,Finland,EUR,3,V_HIGH,3,7.632,52422.304,81.1,5.54,Full,10.86708743
43,France,EUR,3,V_HIGH,3,6.489,44933.907,82.4,65.273,Flawed,10.71294796
44,Gabon,AFR,0,HIGH,2,4.758,9029.672,66,2.225,Authoritarian,9.108271322
45,Georgia,EUR,3,V_HIGH,3,4.34,4370.177,74.4,3.989,Hybrid,8.382558791
46,Germany,EUR,3,V_HIGH,3,6.965,50841.666,81,83.783,Full,10.83647149
47,Ghana,AFR,0,MEDIUM,1,4.657,1779.893,62.4,31.072,Flawed,7.484308529
48,Greece,EUR,3,V_HIGH,3,5.358,21144.184,81,10.423,Flawed,9.959120158
49,Guatemala,AMER,1,MEDIUM,1,6.382,4770.736,71.9,17.915,Hybrid,8.47025587
50,Guinea,AFR,0,MEDIUM,1,3.964,816.45,59,13.132,Authoritarian,6.704965674
51,Haiti,AMER,1,LOW,0,3.582,847.091,63.5,11.402,Authoritarian,6.741808127
52,Honduras,AMER,1,MEDIUM,1,5.504,2851.21,74.6,9.904,Hybrid,7.955498745
53,Hong Kong,ASIAP,2,V_HIGH,3,5.43,48829.217,84.3,7.496,Hybrid,10.79608412
54,Hungary,EUR,3,V_HIGH,3,5.62,16722.598,75.9,9.66,Flawed,9.724516257
55,Iceland,EUR,3,V_HIGH,3,7.495,84675.408,82.7,0.341,Full,11.3465805
56,India,ASIAP,2,MEDIUM,1,4.19,2134.752,68.3,1380.004,Flawed,7.66610576
57,Indonesia,ASIAP,2,HIGH,2,5.093,4051.65,69.1,273.523,Flawed,8.306879485
58,Iran,ME,4,HIGH,2,4.707,5085.909,75.5,83.992,Authoritarian,8.534229054
59,Iraq,ME,4,MEDIUM,1,4.456,5601.469,68.9,40.222,Authoritarian,8.630784164
60,Ireland,EUR,3,V_HIGH,3,6.977,80641.171,81.4,4.937,Full,11.2977646
61,Israel,ME,4,V_HIGH,3,7.19,42115.329,82.5,8.655,Flawed,10.64816706
62,Italy,EUR,3,V_HIGH,3,6,35913.826,82.7,60.461,Flawed,10.48887763
63,Ivory Coast,AFR,0,LOW,0,4.671,1879.904,53.5,26.38,Hybrid,7.538975991
64,Jamaica,AMER,1,HIGH,2,5.89,5334.535,76.2,2.961,Flawed,8.581957
65,Japan,ASIAP,2,V_HIGH,3,5.915,40849.21,83.7,126.476,Full,10.61764276
66,Jordan,ME,4,HIGH,2,5.161,5837.503,74.1,10.203,Authoritarian,8.672058416
67,Kazakhstan,ASIAP,2,V_HIGH,3,5.79,9708.82,70.2,18.776,Authoritarian,9.18079003
68,Kenya,AFR,0,MEDIUM,1,4.41,1837.71,63.4,53.771,Hybrid,7.51627551
69,Kuwait,ME,4,V_HIGH,3,6.083,29879.781,74.7,4.27,Authoritarian,10.30493731
70,Kyrgyzstan,ASIAP,2,MEDIUM,1,5.131,1187.714,71.1,6.524,Authoritarian,7.07978573
71,Laos,ASIAP,2,MEDIUM,1,4.623,2705.899,65.7,7.275,Authoritarian,7.903189484
72,Latvia,EUR,3,V_HIGH,3,5.933,18472.193,74.6,1.886,Flawed,9.824021799
73,Lebanon,ME,4,HIGH,2,5.199,11775.155,74.9,6.825,Authoritarian,9.373747082
74,Lesotho,AFR,0,LOW,0,3.808,1499.096,53.7,2.142,Flawed,7.312617539
75,Liberia,AFR,0,LOW,0,3.495,722.263,61.4,5.507,Hybrid,6.582389338
76,Libya,AFR,0,HIGH,2,5.566,6699.897,72.7,6.871,Authoritarian,8.809847432
77,Lithuania,EUR,3,V_HIGH,3,5.952,19534.021,73.6,2.722,Flawed,9.879912891
78,Luxembourg,EUR,3,V_HIGH,3,6.91,120060.558,82,0.625,Full,11.69575154
79,Macedonia,EUR,3,HIGH,2,5.185,6295.11,75.7,2.083,Flawed,8.747528421
80,Madagascar,AFR,0,LOW,0,3.774,479.047,65.5,27.691,Hybrid,6.171798714
81,Malawi,AFR,0,LOW,0,3.587,342.061,58.3,19.129,Hybrid,5.834989084
82,Malaysia,ASIAP,2,V_HIGH,3,6.322,11237.421,75,32.365,Flawed,9.327004649
83,Mali,AFR,0,LOW,0,4.447,917.479,58.2,20.25,Authoritarian,6.821629691
84,Malta,EUR,3,V_HIGH,3,6.627,31847.59,81.7,0.441,Flawed,10.36871699
85,Mauritania,AFR,0,LOW,0,4.356,1368.99,63.1,4.649,Hybrid,7.221828521
86,Mauritius,ASIAP,2,V_HIGH,3,5.891,10437.074,74.6,1.271,Full,9.253119554
87,Mexico,AMER,1,HIGH,2,6.488,9723.043,76.7,128.932,Hybrid,9.182253914
88,Moldova,EUR,3,HIGH,2,5.64,2596.435,72.1,4.033,Flawed,7.861894629
89,Mongolia,ASIAP,2,HIGH,2,5.125,4029.339,68.8,3.278,Flawed,8.301357622
90,Montenegro,EUR,3,V_HIGH,3,5.347,8898.152,76.1,0.628,Flawed,9.093598894
91,Morocco,AFR,0,MEDIUM,1,5.254,3435.475,74.3,36.91,Hybrid,8.141910477
92,Mozambique,AFR,0,LOW,0,4.417,472.044,57.6,31.255,Authoritarian,6.157072202
93,Myanmar,ASIAP,2,MEDIUM,1,4.308,1338.488,66.6,54.409,Authoritarian,7.199295898
94,Namibia,AFR,0,MEDIUM,1,4.441,5627.102,65.8,2.54,Flawed,8.635349846
95,Nepal,ASIAP,2,MEDIUM,1,4.88,918.986,69.2,30.03,Hybrid,6.823270888
96,Netherlands,EUR,3,V_HIGH,3,7.441,55185.49,81.9,17.134,Full,10.91845534
97,New Zealand,ASIAP,2,V_HIGH,3,7.324,44639.124,81.6,4.822,Full,10.70636597
98,Nicaragua,AMER,1,MEDIUM,1,6.141,2309.74,74.8,6.624,Authoritarian,7.744890243
99,Niger,AFR,0,LOW,0,4.166,510.323,61.8,24.206,Authoritarian,6.235043859
100,Nigeria,AFR,0,LOW,0,5.155,2107.61,54.5,206.139,Hybrid,7.653309883
101,Northern Cyprus,EUR,3,V_HIGH,3,5.835,15109,74.1,0.326,Flawed,9.623045872
102,Norway,EUR,3,V_HIGH,3,7.594,82710.715,81.8,5.421,Full,11.32310444
103,Pakistan,ASIAP,2,MEDIUM,1,5.472,1629,66.4,220.892,Hybrid,7.395721609
104,Palestinian Territories,ME,4,HIGH,2,4.743,2900,73.1,4.5,Authoritarian,7.972466016
105,Panama,AMER,1,V_HIGH,3,6.43,16040.894,77.8,4.314,Flawed,9.682896616
106,Paraguay,AMER,1,HIGH,2,5.681,4578.328,74,7.132,Hybrid,8.429089145
107,Peru,AMER,1,HIGH,2,5.663,7198.64,75.5,32.971,Flawed,8.881647398
108,Philippines,ASIAP,2,HIGH,2,5.524,3095.117,68.5,109.581,Flawed,8.037580987
109,Poland,EUR,3,V_HIGH,3,6.123,16179.549,77.5,37.846,Flawed,9.691503316
110,Portugal,EUR,3,V_HIGH,3,5.41,24236.542,81.1,10.196,Flawed,10.09561677
111,Qatar,ME,4,V_HIGH,3,6.374,66202.094,78.2,2.881,Authoritarian,11.10046737
112,Republic of the Congo,AFR,0,LOW,0,4.559,2349.676,64.7,5.518,Authoritarian,7.762032725
113,Romania,EUR,3,V_HIGH,3,5.945,12575.439,75,19.237,Flawed,9.439500905
114,Russia,EUR,3,V_HIGH,3,5.81,11946.653,70.5,145.934,Authoritarian,9.388206434
115,Rwanda,AFR,0,LOW,0,3.408,819.652,66.1,12.952,Authoritarian,6.70887986
116,Saudi Arabia,ME,4,V_HIGH,3,6.371,22649.613,74.5,34.813,Authoritarian,10.02789804
117,Senegal,AFR,0,LOW,0,4.631,1208.518,66.7,16.743,Hybrid,7.097150095
118,Serbia,EUR,3,V_HIGH,3,5.398,6895.017,75.6,8.737,Flawed,8.838554256
119,Sierra Leone,AFR,0,LOW,0,4.571,505.101,50.1,7.976,Hybrid,6.224758409
120,Singapore,ASIAP,2,V_HIGH,3,6.343,61766.818,83.1,5.85,Flawed,11.03112157
121,Slovakia,EUR,3,V_HIGH,3,6.173,20508.065,76.7,5.459,Flawed,9.928573502
122,Slovenia,EUR,3,V_HIGH,3,5.948,27535.862,80.8,2.078,Flawed,10.22324451
123,South Africa,AFR,0,HIGH,2,4.724,6459.171,62.9,59.308,Flawed,8.77325626
124,South Korea,ASIAP,2,V_HIGH,3,5.875,32774.537,82.3,51.269,Full,10.39740718
125,Spain,EUR,3,V_HIGH,3,6.31,32559.297,82.8,46.754,Flawed,10.39081823
126,Sri Lanka,ASIAP,2,HIGH,2,4.471,4309.09,74.9,21.413,Flawed,8.368482024
127,Sudan,AFR,0,LOW,0,4.139,992.652,64.1,43.849,Authoritarian,6.900380149
128,Sweden,EUR,3,V_HIGH,3,7.314,58345.457,82.4,10.099,Full,10.97413678
129,Switzerland,EUR,3,V_HIGH,3,7.487,86835.128,83.4,8.654,Full,11.37176652
130,Syria,ME,4,MEDIUM,1,3.462,2802,64.5,17.5,Authoritarian,7.938088727
131,Taiwan ,ASIAP,2,V_HIGH,3,6.441,25977.238,77.9,23.816,Full,10.16497597
132,Tajikistan,ASIAP,2,MEDIUM,1,5.352,848.958,69.7,9.537,Authoritarian,6.744009715
133,Tanzania,AFR,0,LOW,0,3.303,1110.05,61.8,59.734,Hybrid,7.012160338
134,Thailand,ASIAP,2,HIGH,2,6.072,6992.229,74.9,69.799,Flawed,8.852554669
135,Togo,AFR,0,LOW,0,3.999,698.682,59.9,8.278,Authoritarian,6.549195703
136,Trinidad & Tobago,AMER,1,HIGH,2,6.192,16083.436,71.2,1.399,Flawed,9.685545201
137,Tunisia,AFR,0,HIGH,2,4.592,3462.822,75.3,11.818,Hybrid,8.149839143
138,Turkey,EUR,3,V_HIGH,3,5.483,11114.258,75.8,84.339,Hybrid,9.315984068
139,Turkmenistan,ASIAP,2,HIGH,2,5.636,7340.72,66.3,6.031,Authoritarian,8.901192209
140,Uganda,AFR,0,LOW,0,4.161,711.338,62.3,45.741,Hybrid,6.567147704
141,Ukraine,EUR,3,HIGH,2,4.103,2820.606,71.3,43.733,Hybrid,7.944707034
142,United Arab Emirates,ME,4,V_HIGH,3,6.774,39483.545,77.1,9.9,Authoritarian,10.58363928
143,United Kingdom,EUR,3,V_HIGH,3,6.814,44177.497,81.2,9.89,Full,10.69597082
144,United States,AMER,1,V_HIGH,3,6.886,62152.073,79.3,331.002,Flawed,11.03733945
145,Uruguay,AMER,1,V_HIGH,3,6.379,18074.859,77,3.473,Full,9.802277246
146,Uzbekistan,ASIAP,2,HIGH,2,6.096,1238.215,69.4,33.469,Authoritarian,7.121426105
147,Venezuela,AMER,1,HIGH,2,4.806,3168.413,74.1,28.435,Authoritarian,8.060986111
148,Vietnam,ASIAP,2,HIGH,2,5.103,2545.909,76,87.338,Authoritarian,7.842243036
149,Yemen,AFR,0,LOW,0,3.355,449.115,65.7,29.825,Authoritarian,6.10727898
150,Zambia,AFR,0,MEDIUM,1,4.377,1475.733,61.8,18.383,Hybrid,7.296910094
151,Zimbabwe,AFR,0,MEDIUM,1,3.692,1270.724,60.7,14.862,Authoritarian,7.147342096
