Country,Happiness,GDP_log,Regime
Lithuania,5.952,9.879912891055476,Flawed
Luxembourg,6.91,11.695751544471197,Full
Macedonia,5.185,8.747528420511637,Flawed
Madagascar,3.774,6.171798713682952,Hybrid
Malawi,3.587,5.834989083730992,Hybrid
Malaysia,6.322,9.327004648721797,Flawed
Mali,4.447,6.821629691383406,Authoritarian
Malta,6.627,10.36871699094745,Flawed
Mauritania,4.356,7.221828520659871,Hybrid
Mauritius,5.891,9.253119553954924,Full
Mexico,6.488,9.182253914,Hybrid
Moldova,5.64,7.861894629271815,Flawed
Mongolia,5.125,8.301357621636885,Flawed
Montenegro,5.347,9.093598894,Flawed
Morocco,5.254,8.141910477483512,Hybrid
Mozambique,4.417,6.157072201579792,Authoritarian
Myanmar,4.308,7.199295898,Authoritarian
Namibia,4.441,8.635349846157206,Flawed
Nepal,4.88,6.823270888289704,Hybrid
Netherlands,7.441,10.918455335391991,Full
New Zealand,7.324,10.706365973206731,Full
Nicaragua,6.141,7.744890243068595,Authoritarian
Niger,4.166,6.235043858580788,Authoritarian
Nigeria,5.155,7.653309883,Hybrid
Northern Cyprus,5.835,9.623045872,Flawed
Norway,7.594,11.32310443731066,Full
Pakistan,5.472,7.395721608602045,Hybrid
Palestinian Territories,4.743,7.972466015974565,Authoritarian
Panama,6.43,9.682896616,Flawed
Paraguay,5.681,8.429089144953414,Hybrid
Peru,5.663,8.881647398273504,Flawed
Philippines,5.524,8.037580987,Flawed
Poland,6.123,9.691503316,Flawed
Portugal,5.41,10.09561677324113,Flawed
Qatar,6.374,11.100467372844776,Authoritarian
Republic of the Congo,4.559,7.762032725292514,Authoritarian
Romania,5.945,9.439500905,Flawed
Russia,5.81,9.388206434446888,Authoritarian
Rwanda,3.408,6.7088798599353705,Authoritarian
Saudi Arabia,6.371,10.027898044672495,Authoritarian
Senegal,4.631,7.097150094529926,Hybrid
Serbia,5.398,8.838554255779112,Flawed
Sierra Leone,4.571,6.224758409278026,Hybrid
Singapore,6.343,11.03112157368329,Flawed
Slovakia,6.173,9.928573502,Flawed
Slovenia,5.948,10.223244506817611,Flawed
South Africa,4.724,8.773256260368509,Flawed
South Korea,5.875,10.397407181911218,Full
Spain,6.31,10.39081823,Flawed
Sri Lanka,4.471,8.368482024,Flawed
Sudan,4.139,6.900380149449903,Authoritarian
Sweden,7.314,10.974136776928702,Full
Switzerland,7.487,11.371766519240127,Full
Syria,3.462,7.938088726896952,Authoritarian
Taiwan ,6.441,10.164975972024898,Full
Tajikistan,5.352,6.744009715123004,Authoritarian
Tanzania,3.303,7.012160338336927,Hybrid
Thailand,6.072,8.852554668515292,Flawed
Togo,3.999,6.549195703096887,Authoritarian
Trinidad & Tobago,6.192,9.685545201498336,Flawed
Tunisia,4.592,8.149839143,Hybrid
Turkey,5.483,9.315984067534796,Hybrid
Turkmenistan,5.636,8.901192209440845,Authoritarian
Uganda,4.161,6.567147703621929,Hybrid
Ukraine,4.103,7.944707034462855,Hybrid
United Arab Emirates,6.774,10.583639281816229,Authoritarian
United Kingdom,6.814,10.695970820774336,Full
United States,6.886,11.037339451169403,Flawed
Uruguay,6.379,9.802277246166664,Full
Uzbekistan,6.096,7.121426105371308,Authoritarian
Venezuela,4.806,8.060986110599003,Authoritarian
Vietnam,5.103,7.842243036137652,Authoritarian
Yemen,3.355,6.107278979669521,Authoritarian
Zambia,4.377,7.296910094488126,Hybrid
Zimbabwe,3.692,7.147342095759639,Authoritarian
