ID,Q 1,Q 2*,Q 3,Q 4*,Q 5*,Q 6*,Q 7,Q 8,Q 9*,Q 10,Q 11,Q 12,Q 13,Q 14,Q 15,Q 16,Q 17,Q 18,Q 19*,Q 20*,ABILITY,INTEREST,P_GROWTH,UTILITY,Category,SW,OT,Strengths,Weaknesses,S/W,Opport,Threats,O/T
10,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3.8,3.2,3,3.4,SO,S,O,Taking computational linguistics already ,Overlook of details ?,Strength I suppose,Solving my own research problem ,Environmental settings,opportunities
11,4,3,4,3,4,4,2,3,3,4,4,4,4,4,4,4,5,3,4,3,3.6,3.2,4,3.8,SO,S,O,"As long as something appeals to me, I will be very focused on completing and delving into it. I will be very persistent in solving the problems I face on matter how difficult it is.","I have a passion for many things and an urge to learn, but often I lose my enthusiasm halfway through. ","I chose this course myself and have a lot of determination and perseverance to learn it. In my opinion, data science is an essential skill? which will be very helpful for my future studies and life.",There are many online learning programs and open source packages which will help me to solve problems.,"The code is difficult to understand, the data is sometimes distorted which may lead to the results of the analysis unreal.",More opportunities
12,4,3,4,3,3,3,5,4,4,4,3,4,5,4,4,4,4,4,4,3,3.4,4,4,3.8,SO,S,O,I am good at using recourses and online materials to solve challenging issues. ,I don't have any experience with programming.,"More strengths, I think.","To take this course, to do more practice, and to learn more from online tutorials after classes.",I am busy with work and DALS thesis writing.,More opportunities.
13,3,3,4,2,2,4,4,4,4,4,5,5,5,5,4,5,4,4,3,4,2.8,4,4.8,4,SO,S,O,"Good at communication skills, quick learner, always try to find solutions rather than giving up easily","minimal knowledge and skill in programming languages, ill mathematic background ",more strengths,"This course, online self-learning courses, or, with help from colleagues in Technical Support Department ","inconsistent data, and too much data",more opportunities
14,4,2,4,3,3,4,4,4,4,2,4,5,4,4,4,5,4,5,4,3,3.2,3.6,4.2,4.2,SO,S,O,I'm interested in it and can stick to it,I have no experience in using pathon for data analysis.,yes strengths,the course and the recommended websites,the mathematical rationale underpinning the implementation,more opportunities
15,4,3,4,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3.4,3.4,4,4,SO,S,O,I am currently working on my FYP which moslty applies quantitative analytical method to examine the data. It could granted me more experience for data analytics when it comes to examining the lanuage patterns throuh programming. The knowledge towards language curriculum allows me to view the data analytics from different language aspects. ,I have never tried programming before so it could be a challenge for me to select the appropriate codes in terms showing the relationship between the variables.,Since I am still at the elementary level on data analytics and programming. I hope my strengths could help me overcome the challenges when actually doing the assignments.,The course focuses the data analytics from langauge aspect. The resources from previous course granted me more opportunities in analysising language data.,I guess the codes and statistics from the programming. ,"Overall, I face more opportunities when learning in this course."
16,5,3,3,2,3,4,3,3,2,2,4,4,4,4,4,3,3,3,3,3,3.2,2.8,4,3,SO,S,O,"My strength is my determination. My determination enhance my motivation. I was good at math in high schools, so I'm not afraid of numbers. However, education in hk does not require math at institutional level. ","I haven't studied maths or quantitative data analysis  for years. I'm a visual learner. I'm not sentive to numbers, but more sentive to pictures. ","I have more strengths for learning DA and programming, because determination and motivation is everything for me. I can overcome my weaknesses.",The opportunities to do research and data analysis. I have worked at a project which needs to collect data from survey. So I have the original data from a real research project. ,"Programming language looks so complex, which may threaten me. <br>my laziness ","I think I face more opportunities , because I need to conduct more research project in the future "
17,3,2,4,2,2,4,5,4,5,3,5,5,4,5,4,4,3,3,3,3,2.6,4.2,4.6,3.2,SO,S,O,Science background in high school\nprior programming experience \ngenuine needs on job and study\nLogical thinking,Limited experience \nweak at complex mathematics ,strengths,online courses and YouTube \ncrash courses on online learning platforms \nfriends and colleagues from research team,Time constraints \nDifficulty understanding complex codes,Opportunities
18,4,4,3,3,3,4,4,3,3,4,4,3,4,4,4,3,3,3,3,3,3.4,3.6,3.8,3,SO,S,O,"Perseverance, curiosity, English skills, glad to know and learn new things, always be positive.","Sometimes lazy, maybe easy to be distracted",I think more strengths,"like online courses, websites can become very useful resources for me to learn such as Bilibili.com ",Maybe the logic behind the codes and some signs don't know how to type.,I think more opportunities. Because I am not a person who is afraid of difficulties.
19,4,2,3,3,4,4,2,3,3,4,4,4,4,4,4,3,4,3,2,3,3.2,3.2,4,3,SO,S,O,analyzing data systematically,not hardworking enough maybe,- strength; I believe that working systematically/ parctices can help me to perform better in this course. ,- reading more examples and try to relate them into our eveyday life/ that particular social issues/ social phenomena. ,having trouble with the programming code/ understanding the code.\n- using python and excel,- yes; I believe it would be sth interesting and practical for me to apply it in my projects or my future career (it might be a hightlight point while compared with the others?). 
20,4,3,4,3,4,4,4,5,4,4,4,3,3,3,4,3,4,3,2,3,3.6,4.2,3.4,3,SO,S,O,Im learnjng and teaching coding in JavaScript so it would help me understand more basic coding concept and the structure of coding in Python.,Im not a mathematical person and I usually make clumsy mistakes which will hinder me from being a good coder.,Strenghths,Youtube,Im a slower learner so itll probably take me more time to learn.,Opportunity 
21,4,1,3,2,2,4,4,4,4,4,5,4,3,4,4,3,3,2,2,2,2.4,4,4,2.4,SO,S,O,Using Praat to analyze the acoustic data,I like doing mathematics ,strengths but It is hard to say ,research project regarding data analysis ,"I have never taken this course or courses like this before, so it is hard to say ",Absolutely more opportunities 
22,4,4,3,3,3,4,4,4,2,4,4,3,4,5,4,3,4,3,3,3,3.4,3.6,4,3.2,SO,S,O,I am always open to learning new skills.  But I think those who are good at math and logical thinking may achieve better learning outcomes in data analytics and programming.,�I am new to python,I am not sure about this question. ,"This lecture, as well as various online materials. Another important aspect is that someone is there to offer suggestions when we encounter problems and difficulties in learning. ",lack of time sometimes,more opportunities
23,4,2,3,2,3,4,4,4,3,4,3,4,4,3,4,4,3,4,3,4,2.8,3.8,3.6,3.6,ST,S,T,"I tend to be interested in new things. I think my logical thinking can help me learn data analysis and programming. In addition, I have a strong adaptability to computers, and I believe that I can quickly understand the content during the learning process.",I can't multitask and it makes me anxious. But sometimes my mind gets so full of different thoughts that I can't focus.,I think I have more strengths for learning data analytics and programming because having a good plan will help me keep going.,the library has a lot of resources,hard to find time,I think more threats
24,4,4,3,3,3,4,5,4,4,3,5,5,5,5,5,4,4,4,4,3,3.4,4,5,3.8,ST,S,T,I am a creative learner and I think I can analysis statistics in a more humanities way,My background is in linguistics so I don't have a solid mathematics or computer background.,"I do have a strong interest in learning data analytics and programming, so I would say I have more strengths.",I attended lectures and watched Youtube tutorials to learn data analytics and programming. I believe that this course will be very helpful.,might give up too easily,threats
25,3,3,3,3,3,4,5,4,5,3,4,3,5,4,4,4,5,3,4,3,3,4.2,4,3.8,ST,S,T,my eagerness to learn,poor time management,Strenghts,interact with classmates,maybe the concepts will be too complex,Threats
26,4,3,2,3,4,2,5,5,4,4,5,5,5,5,4,5,3,3,4,3,3.2,4,4.8,3.6,ST,S,T,"I have completed FH6051 computational linguistics so I have some basic knowledge of python. In my previous study, I tried to use some basic machine learning models (SVM) to solve problems.",no proper training besides that, strengths,a lot of online tutorials,Not familiar with the programming language and mathematical algorithms. ,opportunities
27,3,4,2,2,2,4,4,4,3,4,3,4,5,4,4,4,3,4,3,3,2.6,3.8,4,3.4,ST,S,T,I always like to learn new tools,not good at mathematics,"Strengths outweigh weaknesses in learning DA and programming owing to motivation and interest. Additionally, I believe the weaknesses can be gradually mitigated by mindfully focusing on telling a good coherent story based on data; and the advantages can b",help from the lecturer and friends ,"I think the incompleteness of the data will be an obstacle in my learning because most of the data is from the internet. Therfore, this situation will make me want to change on other topic that will cause waste of time. ","I think I need to have more planning or backup planning and ask for advice, so that I won't be struggle on it."
28,4,4,4,4,2,4,5,4,4,4,4,4,3,4,4,4,4,5,3,4,3.6,4.2,3.8,4,ST,S,T,I have basic knowledge of python,I still lack a solid background,more strengths I think,regular practices in class,maybe the programming code is too complicated,more threats
29,4,3,2,3,4,4,5,4,5,3,4,5,4,4,4,4,4,4,4,4,3.2,4.2,4.2,4,ST,S,T,my interest in data analysis,unfamiliar with python,More strenths,the opportunity to work on my thesis with the skills I learn,dealing with stress if I don't understand,More threats
30,4,3,3,2,4,3,4,4,4,4,5,5,5,5,4,5,3,4,3,3,3.2,3.8,4.8,3.6,ST,S,T,I think I have good research skills,I am weak at math,more strengths,Youtube,the course may be too hard,more threats
31,4,2,3,2,3,4,4,5,3,4,4,3,4,4,4,4,5,3,4,3,2.8,4,3.8,3.8,ST,S,T,I feel I am a logical person which should help ,I might not be able to remember all the programming syntax well,more strengths,I think more use of online resources and ask lecturer will help me to learn data analytics and programming.,lack of enough time,more threats
32,4,4,4,4,2,4,5,4,4,4,5,5,5,4,5,5,4,3,3,3,3.6,4.2,4.8,3.6,ST,S,T,"I have completed FH6051 computational linguistics so I have some basic knowledge of python. In my previous study, I tried to use some basic machine learning models (SVM) to solve problems.",statistical ideas,strength more than weakness,online courses and this course,not enough time to learn,threats more than opportunities
33,5,3,4,4,4,4,5,5,5,5,5,4,4,5,4,3,3,2,3,3,4,4.8,4.4,2.8,WO,W,O,I am adventurous and like challenges\nI like digging out patterns of something that seems to be choatic or messy at the first glance\nI like and tried programming at a younger age; I have been coding after my Masters as a hobby and now turn it into a tool for my research.,I often miss out important details and too hasty to draw conclusions - sometimes lacking patience.\n<br>,weaknesses,The course itself is a great opportunity to consolidate my data analytics knowledge and programming skills; other online platforms (search engines and forums like Stackoverflow) will also serve as good resources.,"Working with very unstructured and messy data, and debugging could be tiring.",opportunities
34,3,2,3,3,4,5,5,5,5,5,4,4,5,4,5,5,5,4,5,4,3,5,4.4,4.6,WO,W,O,"I am a doctoral candidate, and the real need to do research and data analysis is a kind of self-motivation for me in this aspect.",Foundations may be the biggest problem. I am not good at statistics and have a rare idea of programming.,I am not sure about that. Hahaha. But I will try my best.,"I will practice regularly. After all, I will have a chance to conduct data analysis every time I write a paper.",When I have no idea which method of data analysis can help me come to my expected findings.,"More opportunities, of course, because of this course, resources available in the library and the supervisor's instruction."
35,4,1,3,2,1,4,4,3,3,4,3,3,4,2,3,5,4,5,4,4,2.2,3.6,3,4.4,WO,W,O,"I have a very basic understaning of python, but I find it hard to apply what I've learned in solving problems. Interest in programming is probably the only driver for me to learn more about the subject. ","Lack of creativity, especially adapting what I have learned in solving problems I encounter. \nReluctuance to take risks. I often fear if I change some codes, I will mess up the whole thing. \n",weaknesses but I don't really know. It probably depends on how challenging the problems I'm going to face.,There are plenty of open resources online. When I need a solution to a basic problem I usually look for codes that may help me with that. \nMy colleague and I created an automatic writing assessment engine with the help of two programmers. I was responsible for the linguistic aspect. We have a subscription to a virtual machine (though I don’t know how it works). I sometimes retrieve data from MongoDB for research purposes.,"I tend to get stressed when I cannot find a soluton. In cases when I'm under pressue or there is time constraint, I may give up and resort to mannully analysis. \n",Probably opportunities.  
36,4,2,4,3,3,5,5,4,5,5,4,4,5,5,4,4,5,3,3,3,3.2,4.8,4.4,3.6,WO,W,O,"I am interested in corpus tools I'm interested in corpus tools, maybe this will be useful.",May require knowledge of mathematics or statistics,more weaknesses,I need to write a thesis supported by data?and I am very interested in data analysis although not good at.,Maybe the basic python skills I learned can't provide the data I need for my thesis and I need to learn text analysis crawler.,I am very excited to learn new things related to programming? which combine my area of linguistic with Internet data allows me to see the value of doing research that reflect the real life?so I think this means more opportunities.
37,4,2,3,2,2,4,4,3,3,3,4,4,4,3,4,3,3,3,3,3,2.6,3.4,3.8,3,WO,W,O,I am quite used to learning softwares from scratch so I think this might be not as difficult as I have expected it to be,"Since I am a linguistic major student and have not done any quantitative course combined with programming before like this course, my lack of experience and exposure to this field might put me into a disadvantage. Furthermore, I have no experience at all  in any kind of programming and  Python. This is one of the university course that I have taken that is more of a hands on subject rather than my usual subjects where I do a lot of readings,critical analysis and academic essays. ","At this moment, since I have not been taught how to program or use Python at all yet, I definitely have much more weaknessss over strengths in learning data analytics and programming since it is something that I am not confident about at all. However, I hope that this could work the other way round after taking this subject. ","The available open source online that teach me how to program and use Python will be something I am going to consult often in order to have a good grasp of using this important software, Python in class. Furthermore, since this class is held face to face, with the assistance from my professor and classmates, I believe that I will be able to tackle programming problems. ","First of all,my lack of confidence and skills in this field might cause me to be a bit nervous in the beginning. I would also need to start from the basics and I need to be able to first be skilful in the basics. ","I think a mixture of both but more opportunity. If I could master the skill of programming, it would be a great skill of use in the future. But if I could not get a good handle of these skills, then I might need to devote more time in practicing this software."
38,5,3,4,4,4,5,5,5,5,5,5,4,3,4,4,4,5,5,5,3,4,5,4,4.4,WO,W,O,I like quantitative analysis. I believe in statistical evidence more than pure argument. I have learned computer linguistics in the last semester. I am also learning python and its libraries on datacamp.,I major in humanities. I haven't applied it in my real life to solve a real case.,"I think I have strengths compared to other humanities students, but weaknesses compared to all those who major in computer science.",Datacamp is really helpful. I have already taken a lot of courses there.,I have to work in daytime!,Opportunities!
39,4,1,4,1,1,5,4,5,5,5,4,3,4,4,4,5,5,5,5,5,2.2,4.8,3.8,5,WO,W,O,"I tend to relate theories with related observations I have in my workplace to bootstrap things together, hopefully I am able to relate data analytics and programming knowledge to my phd project to visualise the practical usage of python in it. ","I am weak in managing with programmes and relating statistical knowledge in the 'problem-solving' process, I tend to take a bit more time to process the newly introduced concepts. ",I would say more weaknesses,The websites introduced in the first class will be beneficial,"I do understand it requires practices to perfect the skill, being in part-time mode might be a disadvantage for me",opportunities
40,3,4,2,2,2,5,5,5,5,5,4,5,4,4,4,4,4,4,3,4,2.6,5,4.2,3.8,WO,W,O,I have been interested in doing data analysis in my published paper by using SPSS. I have learned some basic knowledge on Python. ,My unfamiliarity with reptiles and advanced methods in data analysis for language sciences,I have a few strengths and more weaknesses in learning.,some online courses in teaching python.,unclear so far,"I am sure it will be a challenging course for me, but I will try my best to learn from it."
41,3,1,2,2,2,4,5,5,4,3,4,4,4,4,4,4,3,4,4,4,2,4.2,4,3.8,WO,W,O,I have a high motivation in learning advanced statistics.\nI have knowledge of basic statictics.,I have no background with programming.\nI have fear of programming.\nI am not good at numbers.,"Neither, maybe more weaknesses",Videos shared by other.,Dennis sometimes speak too fast. Can you slow down a little bit? Can you use examples for abstract concepts? More hands-on experience.,"more oppotunities.\nI may do phychological experiments and need advanced statiscts, which may help my thesis and publications."
42,5,3,4,3,4,5,4,5,5,5,5,4,4,5,4,4,4,5,4,4,3.8,4.8,4.4,4.2,WO,W,O,I worked as an front-end programmer and game programmer before,I am weak in algorithm,weaknesses,I would like to know how to analysis non-numeric data using programming,no sure,opportunities
43,4,1,3,2,2,4,5,5,4,3,4,4,3,4,4,4,5,4,3,4,2.4,4.2,3.8,4,WO,W,O,I have taken the course ENGL4022 which is about quantitative literarcy before. I am eager to learn new things and stay curious in programming.,I am a bit unintentive sometimes and I might miss some important steps about programming during the lecture.,more weaknesses,It is helpful with my final year project which I have to deal with a set of numbers and data.,the learning is too fast which makes me hard tocatch up with it.,more opportunities? future career? final year project.
44,2,3,3,3,4,4,5,4,3,4,4,4,3,3,4,4,5,4,4,3,3,4,3.6,4,WO,W,O,some interest and computing skills,lazy and unfamiliar with python,I would say there is no strenth more weakness,comp majored friends?,computer crash,I would say more opportunities
45,3,3,2,2,1,4,4,4,2,4,4,3,3,3,4,5,3,3,3,4,2.2,3.6,3.4,3.6,WO,W,O,"Actually I am not good at computing or mathematics but I do consider myself as a hard-working person, maybe this kind of trait might help me to learn data analytics and programming. ","Everytime I encounter computing, I will try to avoid it. Since I took this course, i cant avoid it anymore. ",Weakness i guess because i don't have a solid foundation of programming. ,The detailed explanation given by the lecturer. Maybe slow down the process when teaching the difficult part. ,Hard to use the app.,"Opporunities becuase this is the very first time for me to take programming course, so I think it is a chance for me to explore something new. "
46,4,3,3,2,2,4,4,5,3,4,4,3,3,2,2,4,4,3,3,3,2.8,4,2.8,3.4,WO,W,O,"I know it is totally different to the data analytics of Python, but I learnt to use AntConC for doing corpus linguistics research before. That program was totally new to me but I enjoyed learning new things. I think I will also enjoy leaning Python since it is a very useful tool.",Most of the courses I studied are about language and I do not have related experience about programming so I am a bit nervous about it.,I think I have more weaknesses for learning data analytics and programming because I do not have related knowledge. I think I will struggle a lot in the beginning.,I can search on Youtube to look for tutorials.,If I cannot pick up in the beginning then it may be troubling to learn something more difficult as weeks go by.,I face more opportunities when learning because I can ask for teacher's and classmates advice and there are a lot of information on youtube.
47,4,3,3,2,4,4,4,4,3,4,4,4,3,4,4,5,4,5,4,3,3.2,3.8,3.8,4.2,WO,W,O,Corpus analysis,Statistics,More weaknesses,Taking courses,Not enough time,More opportunities
48,1,2,1,2,2,4,4,4,4,3,5,4,4,4,4,4,5,4,4,3,1.6,3.8,4.2,4,WT,W,T,"determination, hard working","not confidient, lack of experience in programming and not familar with the programming language",relatively the same but maybe more weakness,"I have no idea, and need suggestions from professor",When I missed one part and can't keep up with the rest of the class,I think I am facing more challenges.
49,4,2,3,2,3,5,5,5,5,4,4,2,3,3,4,3,4,3,3,5,2.8,4.8,3.2,3.6,WT,W,T,bachelor in systems science and engineering<br>trained in lots of courses related to maths but forgot almost all of them,weak in statistics,probably won't be very good at it<br>but can be better than my past self,hope to learn more debugging skills,"I can only debug by copying the error message and searching it online\nIf I cannot find a good solution online, I'm done with it",threats
50,2,2,1,2,3,5,5,5,4,4,4,4,4,3,4,4,5,5,5,4,2,4.6,3.8,4.6,WT,W,T,"My interest to DA and programming.\nand, I also using same type of computer as you, which is Macbook Pro. If anythings goes wrong in my computer, you know how to help me. ","I am not thinking fast enough and my IQ might not be very high. Also, the technical problem might occurs in lecture so I will scared if the lecturer is processing things too fast.",weakness �,Help me to do the project and maybe start to doing my own research,I might not follow up the concept you teach me but the lecturer ignore or moving on to the next concept.,Threats
51,2,1,2,1,1,4,4,4,2,4,5,5,4,3,4,4,4,5,4,4,1.4,3.6,4.2,4.2,WT,W,T,"i have over 13 years of teaching experience, not sure if that counts",have not learnt maths or logic since university,more weakness,counting on Dennis,"if having real problems, no one else to approach to in real life","threats, unfortunately"
52,4,3,2,2,2,4,4,5,5,4,5,4,4,3,4,4,4,4,3,4,2.6,4.4,4,3.8,WT,W,T,"I am careful, meticulous, and hardworking, but I have no data analytical background. I am really nervous about learning this subject, although I aspire to learn it well. ","I am not good at mathematics, and any subjects related to natural science. I have no confidence in learning data analytics well. ","I guess I have more weakenesses for learning data analytics and programming. The major reasons are that I have no background about programming, python, etc and I have no confidence in learning it well. I understand that data analytics is really useful and helpful for my career, and I want to grasp this skill. However, I am really not quite sure whether I can follow the lecture. I hope I can make it. ",I guess I can resort to online resources and tutorials to help me learn this subject. ,"Just as I mentioned before, I have no background about data analytics and programming, this situation may cause me trouble when learning this subject. ",I think I will face more difficulties but I am willing to deal with them as long as I can handle them. 
53,3,3,4,2,3,4,5,5,5,5,4,3,4,5,4,4,4,4,4,4,3,4.8,4,4,WT,W,T,I am good at systematic analysis,I am not talented in programming skills,weakness,the learning materials,no time to learn everything well,not sure maybe more threats
54,3,1,2,1,2,5,4,4,5,4,5,3,3,3,4,5,5,4,5,5,1.8,4.4,3.6,4.8,WT,W,T,I know you are always available to help,afraid I cannot understand the concepts,W,the chance to apply to my data,I might not follow up the concept you teach me but the lecturer ignore or moving on to the next concept.,T
55,2,1,2,2,1,4,4,4,4,2,4,4,4,4,4,5,4,4,3,3,1.6,3.6,4,3.8,WT,W,T,i have some teaching experience in math,not good with math,more weakness,the lecturer,not being able to catch up,threat
56,4,2,3,2,3,4,5,5,5,5,4,4,4,4,4,4,5,4,5,4,2.8,4.8,4,4.4,WT,W,T,I like to think about problems and solutions in a logical step by step way,weak at understanding quantitative ideas,weakness,online learning tools,not finding the solution myself,threat
57,2,1,2,1,1,4,4,4,2,4,4,4,4,3,4,4,4,4,4,4,1.4,3.6,3.8,4,WT,W,T,"hardworking, curious",not confident in programming,more weakness,online tools,hard to approach others for help,more threats
